wrongname,rightname
CSUN,CSUN
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware St,Delaware St.
Delaware St.,Delaware St.
Delaware State,Delaware St.
Denver,Denver
DePaul,DePaul
Detroit,Detroit Mercy
Detroit Mercy,Detroit Mercy
Dickinson College,Dickinson College
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
ECU,East Carolina
East Texas A&M,East Texas A&M
Tex. A&M-Commerce,East Texas A&M
Texas A&amp;M-Commerce,East Texas A&M
Texas A&M Commerce,East Texas A&M
Texas A&M-Commerce,East Texas A&M
Texas A&M–Commerce,East Texas A&M
TX A&M Commerce,East Texas A&M
Tx AM-Commerce,East Texas A&M
E Illinois,Eastern Ill.
E. Illinois,Eastern Ill.
Eastern Ill.,Eastern Ill.
Eastern Illinois,Eastern Ill.
E Kentucky,Eastern Ky.
E. Kentucky,Eastern Ky.
Eastern Kentucky,Eastern Ky.
Eastern Ky.,Eastern Ky.
E Michigan,Eastern Mich.
E. Michigan,Eastern Mich.
Eastern Mich.,Eastern Mich.
Eastern Michigan,Eastern Mich.
E Washington,Eastern Wash.
E. Washington,Eastern Wash.
Eastern Wash.,Eastern Wash.
Eastern Washington,Eastern Wash.
Elon,Elon
East Tennessee St.,ETSU
East Tennessee State,ETSU
ETSU,ETSU
Evansville,Evansville
Fairfield,Fairfield
F Dickinson,FDU
F. Dickinson,FDU
Fair. Dickinson,FDU
Fairl. Dickinson,FDU
Fairleigh Dickinson,FDU
FDU,FDU
FGCU,FGCU
FL Gulf Coast,FGCU
Fla. Gulf Coast,FGCU
Florida Gulf Coast,FGCU
FIU,FIU
Florida International,FIU
Florida Intl,FIU
FAU,Fla. Atlantic
FL Atlantic,Fla. Atlantic
Fla. Atlantic,Fla. Atlantic
Florida Atlantic,Fla. Atlantic
Florida,Florida
Florida A&amp;M,Florida A&M
Florida A&M,Florida A&M
Florida St,Florida St.
Florida St.,Florida St.
Florida State,Florida St.
Fordham,Fordham
Fresno St,Fresno St.
Fresno St.,Fresno St.
Fresno State,Fresno St.
Furman,Furman
Ga Southern,Ga. Southern
Ga. Southern,Ga. Southern
Georgia Southern,Ga. Southern
Gardner Webb,Gardner-Webb
Gardner-Webb,Gardner-Webb
G Mason,George Mason
George Mason,George Mason
G Washington,George Washington
G. Washington,George Washington
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia St,Georgia St.
Georgia St.,Georgia St.
Georgia State,Georgia St.
Georgia Tech,Georgia Tech
Gettysburg,Gettysburg
Gonzaga,Gonzaga
Grambling,Grambling
Grambling St.,Grambling
Grambling State,Grambling
Grand Canyon,Grand Canyon
Green Bay,Green Bay
WI Green Bay,Green Bay
Hamline,Hamline
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
Hawai'i,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Christian
Houston Chr,Houston Christian
Houston Christian,Houston Christian
Howard,Howard
Idaho,Idaho
Idaho St,Idaho St.
Idaho St.,Idaho St.
Idaho State,Idaho St.
Illinois,Illinois
Illinois St,Illinois St.
Illinois St.,Illinois St.
Illinois State,Illinois St.
Indiana,Indiana
Indiana St,Indiana St.
Indiana St.,Indiana St.
Indiana State,Indiana St.
Iona,Iona
Iowa,Iowa
Iowa St,Iowa St.
Iowa St.,Iowa St.
Iowa State,Iowa St.
IU Indianapolis,IU Indy
IU Indy,IU Indy
IUPUI,IU Indy
Jackson St,Jackson St.
Jackson St.,Jackson St.
Jackson State,Jackson St.
Jacksonville,Jacksonville
Jacksonville St,Jacksonville St.
Jacksonville St.,Jacksonville St.
Jacksonville State,Jacksonville St.
James Madison,James Madison
JMU,James Madison
John Carroll,John Carroll
Kansas,Kansas
Kansas City,Kansas City
Missouri KC,Kansas City
Missouri-Kansas City,Kansas City
UMKC,Kansas City
Kansas St,Kansas St.
Kansas St.,Kansas St.
Kansas State,Kansas St.
Kennesaw,Kennesaw St.
Kennesaw St.,Kennesaw St.
Kennesaw State,Kennesaw St.
Kent,Kent St.
Kent St.,Kent St.
Kent State,Kent St.
Kentucky,Kentucky
Kentucky Wesleyan,Kentucky Wesleyan
La Salle,La Salle
Lafayette,Lafayette
Louisiana-Lafayette,Lafayette
Lamar,Lamar University
Lamar University,Lamar University
Lawrence,Lawrence
Le Moyne,Le Moyne
Lehigh,Lehigh
Liberty,Liberty
Lindenwood,Lindenwood
Lipscomb,Lipscomb
Ark Little Rock,Little Rock
Arkansas-Little Rock,Little Rock
Little Rock,Little Rock
LIU,LIU
LIU Brooklyn,LIU
LIU-Brooklyn,LIU
Long Island,LIU
Long Island University,LIU
LMU (CA),LMU (CA)
Loy Marymount,LMU (CA)
Loyola Marymount,LMU (CA)
Cal State Long Beach,Long Beach St.
Long Beach St,Long Beach St.
Long Beach St.,Long Beach St.
Long Beach State,Long Beach St.
Longwood,Longwood
Louisiana,Louisiana
LA Tech,Louisiana Tech
Louisiana Tech,Louisiana Tech
Louisville,Louisville
Loyola (IL),Loyola Chicago
Loyola Chicago,Loyola Chicago
Loyola-Chicago,Loyola Chicago
Loyola (MD),Loyola Maryland
Loyola Maryland,Loyola Maryland
Loyola MD,Loyola Maryland
Louisiana State,LSU
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Massachusetts,Massachusetts
UMass,Massachusetts
McNeese,McNeese
McNeese St,McNeese
McNeese St.,McNeese
McNeese State,McNeese
Memphis,Memphis
Mercer,Mercer
Merchant Marine Academy,Merchant Marine
Mercyhurst,Mercyhurst
Merrimack,Merrimack
Miami,Miami (FL)
Miami (FL),Miami (FL)
Miami (Fla.),Miami (FL)
Miami FL,Miami (FL)
Miami (OH),Miami (OH)
Miami (Ohio),Miami (OH)
Miami OH,Miami (OH)
Michigan,Michigan
Michigan St,Michigan St.
Michigan St.,Michigan St.
Michigan State,Michigan St.
Middle Tenn.,Middle Tenn.
Middle Tennessee,Middle Tenn.
MTSU,Middle Tenn.
Milwaukee,Milwaukee
WI Milwaukee,Milwaukee
Minnesota,Minnesota
Miss. St.,Mississippi St.
Mississippi St,Mississippi St.
Mississippi St.,Mississippi St.
Mississippi State,Mississippi St.
Miss Val St,Mississippi Val.
Miss. Valley St.,Mississippi Val.
Mississippi Val.,Mississippi Val.
Mississippi Valley St.,Mississippi Val.
Mississippi Valley State,Mississippi Val.
MS Valley St,Mississippi Val.
MS Valley State,Mississippi Val.
Missouri,Missouri
Missouri St,Missouri St.
Missouri St.,Missouri St.
Missouri State,Missouri St.
Monmouth,Monmouth
Monmouth NJ,Monmouth
Montana,Montana
Montana St,Montana St.
Montana St.,Montana St.
Montana State,Montana St.
Morehead St,Morehead St.
Morehead St.,Morehead St.
Morehead State,Morehead St.
Morgan St,Morgan St.
Morgan St.,Morgan St.
Morgan State,Morgan St.
Morris Brown,Morris Brown
Mount St. Mary's,Mount St. Mary's
Mt St Mary's,Mount St. Mary's
Mt. St. Mary's,Mount St. Mary's
Muhlenburg,Muhlenburg
Murray St,Murray St.
Murray St.,Murray St.
Murray State,Murray St.
N.C. A&T,N.C. A&T
NC A&T,N.C. A&T
North Carolina A&amp;T,N.C. A&T
North Carolina A&T,N.C. A&T
N.C. Central,N.C. Central
NC Central,N.C. Central
North Carolina Central,N.C. Central
Navy,Navy
N.C. State,NC State
NC State,NC State
North Carolina State,NC State
Nebraska,Nebraska
Nevada,Nevada
New Hampshire,New Hampshire
UNH,New Hampshire
New Mexico,New Mexico
New Mexico St,New Mexico St.
New Mexico St.,New Mexico St.
New Mexico State,New Mexico St.
New Orleans,New Orleans
Niagara,Niagara
Nicholls,Nicholls
Nicholls St,Nicholls
Nicholls St.,Nicholls
Nicholls State,Nicholls
N Illinois,NIU
N. Illinois,NIU
NIU,NIU
Northern Ill.,NIU
Northern Illinois,NIU
NJIT,NJIT
Norfolk St,Norfolk St.
Norfolk St.,Norfolk St.
Norfolk State,Norfolk St.
N Alabama,North Ala.
North Ala.,North Ala.
North Alabama,North Ala.
North Carolina,North Carolina
UNC,North Carolina
North Dakota,North Dakota
N Dakota St,North Dakota St.
North Dakota St.,North Dakota St.
North Dakota State,North Dakota St.
N Florida,North Florida
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northeastern IL,Northeastern IL
Northeastern Illinois,Northeastern IL
N Arizona,Northern Ariz.
N. Arizona,Northern Ariz.
Northern Ariz.,Northern Ariz.
Northern Arizona,Northern Ariz.
N Colorado,Northern Colo.
N. Colorado,Northern Colo.
Northern Colo.,Northern Colo.
Northern Colorado,Northern Colo.
N Kentucky,Northern Ky.
N. Kentucky,Northern Ky.
Northern Kentucky,Northern Ky.
Northern Ky.,Northern Ky.
Northwestern,Northwestern
Northwestern (LA),Northwestern St.
Northwestern LA,Northwestern St.
Northwestern St.,Northwestern St.
Northwestern State,Northwestern St.
NW St.,Northwestern St.
Notre Dame,Notre Dame
New York University,NYU
NYU,NYU
Oakland,Oakland
Ohio,Ohio
Ohio St,Ohio St.
Ohio St.,Ohio St.
Ohio State,Ohio St.
Oklahoma,Oklahoma
Oklahoma City,Oklahoma City
Oklahoma St,Oklahoma St.
Oklahoma St.,Oklahoma St.
Oklahoma State,Oklahoma St.
Old Dominion,Old Dominion
Mississippi,Ole Miss
Ole Miss,Ole Miss
NE Omaha,Omaha
Nebraska Omaha,Omaha
Omaha,Omaha
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon St,Oregon St.
Oregon St.,Oregon St.
Oregon State,Oregon St.
Pacific,Pacific
Penn,Penn
Pennsylvania,Penn
Penn St,Penn St.
Penn St.,Penn St.
Penn State,Penn St.
Pepperdine,Pepperdine
Pitt,Pittsburgh
Pittsburgh,Pittsburgh
Portland,Portland
Portland St,Portland St.
Portland St.,Portland St.
Portland State,Portland St.
Prairie View,Prairie View
Prairie View A&M,Prairie View
PV A&M,Prairie View
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Fort Wayne,Purdue Fort Wayne
PFW,Purdue Fort Wayne
Purdue Fort Wayne,Purdue Fort Wayne
Purdue-Fort Wayne,Purdue Fort Wayne
Queens,Queens (NC)
Queens (NC),Queens (NC)
Queens NC,Queens (NC)
Queens University,Queens (NC)
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode Island
URI,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
CS Sacramento,Sacramento St.
Sacramento St.,Sacramento St.
Sacramento State,Sacramento St.
Sacred Heart,Sacred Heart
Saint Francis,Saint Francis
Saint Francis (PA),Saint Francis
St Francis PA,Saint Francis
St. Francis (PA),Saint Francis
St. Francis PA,Saint Francis
Saint Joe's,Saint Joseph's
Saint Joseph's,Saint Joseph's
St Joseph's PA,Saint Joseph's
St. Joseph's,Saint Joseph's
Saint Louis,Saint Louis
St Louis,Saint Louis
Saint Mary's,Saint Mary's (CA)
Saint Mary's (CA),Saint Mary's (CA)
St Mary's (CA),Saint Mary's (CA)
St Mary's CA,Saint Mary's (CA)
St. Mary's (CA),Saint Mary's (CA)
St. Mary's CA,Saint Mary's (CA)
Saint Peter's,Saint Peter's
St Peter's,Saint Peter's
St. Peter's,Saint Peter's
Sam Houston,Sam Houston
Sam Houston St,Sam Houston
Sam Houston St.,Sam Houston
Sam Houston State,Sam Houston
Samford,Samford
San Diego,San Diego
San Diego St,San Diego St.
San Diego St.,San Diego St.
San Diego State,San Diego St.
San Francisco,San Francisco
San JosÃƒÂ© State,San Jose St.
San Jose St,San Jose St.
San Jose St.,San Jose St.
San Jose State,San Jose St.
Santa Clara,Santa Clara
Savannah State,Savannah State
Scranton,Scranton
Seattle,Seattle U
Seattle U,Seattle U
Seton Hall,Seton Hall
SF Austin,SFA
SFA,SFA
Stephen F. Austin,SFA
Siena,Siena
SIU Edwardsville,SIUE
SIUE,SIUE
SIU-Edwardsville,SIUE
Southern Illinois-Edwardsville,SIUE
SMU,SMU
Southern Methodist,SMU
South Alabama,South Alabama
South Carolina,South Carolina
S Carolina St,South Carolina St.
S. Carolina St.,South Carolina St.
SC St.,South Carolina St.
SC State,South Carolina St.
South Carolina St.,South Carolina St.
South Carolina State,South Carolina St.
South Dakota,South Dakota
S Dakota St,South Dakota St.
S Dakota St.,South Dakota St.
South Dakota St.,South Dakota St.
South Dakota State,South Dakota St.
South Fla.,South Fla.
South Florida,South Fla.
USF,South Fla.
SE Missouri St,Southeast Mo. St.
SE Missouri St.,Southeast Mo. St.
SE Missouri State,Southeast Mo. St.
Southeast Missouri,Southeast Mo. St.
Southeast Missouri St.,Southeast Mo. St.
Southeast Missouri State,Southeast Mo. St.
Southeast Mo. St.,Southeast Mo. St.
SE Louisiana,Southeastern La.
Southeastern LA,Southeastern La.
Southeastern La.,Southeastern La.
Southeastern Louisiana,Southeastern La.
Southern California,Southern California
USC,Southern California
S Illinois,Southern Ill.
S. Illinois,Southern Ill.
Southern Ill.,Southern Ill.
Southern Illinois,Southern Ill.
S. Indiana,Southern Ind.
Southern Ind.,Southern Ind.
Southern Indiana,Southern Ind.
Southern Miss,Southern Miss.
Southern Miss.,Southern Miss.
Southern Mississippi,Southern Miss.
Southern,Southern U.
Southern U.,Southern U.
Southern Univ,Southern U.
Southern Utah,Southern Utah
Saint Bonaventure,St. Bonaventure
St Bonaventure,St. Bonaventure
St. Bonaventure,St. Bonaventure
St Francis NY,St. Francis Brooklyn
St. Francis (NY),St. Francis Brooklyn
St. Francis Brooklyn,St. Francis Brooklyn
St. Francis NY,St. Francis Brooklyn
Saint John's,St. John's (NY)
St John's,St. John's (NY)
St. John's,St. John's (NY)
St. John's (NY),St. John's (NY)
Saint Thomas (Minn.),St. Thomas (MN)
St Thomas MN,St. Thomas (MN)
St. Thomas,St. Thomas (MN)
St. Thomas - Minnesota,St. Thomas (MN)
St. Thomas (MN),St. Thomas (MN)
Stanford,Stanford
Stetson,Stetson
Stonehill,Stonehill
Stony Brook,Stony Brook
Syracuse,Syracuse
Tarleton,Tarleton St.
Tarleton St,Tarleton St.
Tarleton St.,Tarleton St.
Tarleton State,Tarleton St.
TCU,TCU
Texas Christian,TCU
Temple,Temple
Tennessee,Tennessee
Tennessee St,Tennessee St.
Tennessee St.,Tennessee St.
Tennessee State,Tennessee St.
Tenn. Tech,Tennessee Tech
Tennessee Tech,Tennessee Tech
Texas,Texas
Texas A&amp;M,Texas A&M
Texas A&M,Texas A&M
Texas Southern,Texas Southern
TX Southern,Texas Southern
Texas St,Texas St.
Texas St.,Texas St.
Texas State,Texas St.
Texas Tech,Texas Tech
Texas Wesleyan,Texas Wesleyan
Citadel,The Citadel
The Citadel,The Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
U.S. International,U.S. International
Alabama-Birmingham,UAB
UAB,UAB
Albany,UAlbany
Albany (NY),UAlbany
SUNY Albany,UAlbany
UAlbany,UAlbany
UC Davis,UC Davis
UC-Davis,UC Davis
UC Irvine,UC Irvine
UC-Irvine,UC Irvine
UC Riverside,UC Riverside
UC-Riverside,UC Riverside
UC San Diego,UC San Diego
UC-San Diego,UC San Diego
UC Santa Barbara,UC Santa Barbara
UC-Santa Barbara,UC Santa Barbara
UCSB,UC Santa Barbara
Central Florida,UCF
UCF,UCF
UCLA,UCLA
Connecticut,UConn
UConn,UConn
IL Chicago,UIC
Illinois Chicago,UIC
Illinois-Chicago,UIC
Illinois–Chicago,UIC
UIC,UIC
Incarnate Word,UIW
UIW,UIW
LA Monroe,ULM
La.-Monroe,ULM
Louisiana Monroe,ULM
Louisiana-Monroe,ULM
Louisiana–Monroe,ULM
UL Monroe,ULM
ULM,ULM
MA Lowell,UMass Lowell
Massachusetts-Lowell,UMass Lowell
UMass Lowell,UMass Lowell
UMass-Lowell,UMass Lowell
Maryland-Baltimore County,UMBC
UMBC,UMBC
Maryland Eastern Shore,UMES
Maryland-Eastern Shore,UMES
MD E Shore,UMES
Md.-East. Shore,UMES
UMES,UMES
North Carolina-Asheville,UNC Asheville
UNC Asheville,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
UNC Greensboro,UNC Greensboro
UNCG,UNC Greensboro
North Carolina-Wilmington,UNCW
UNC Wilmington,UNCW
UNCW,UNCW
Northern Iowa,UNI
UNI,UNI
Nevada-Las Vegas,UNLV
UNLV,UNLV
SC Upstate,USC Upstate
South Carolina Upstate,USC Upstate
USC Upstate,USC Upstate
Texas-Arlington,UT Arlington
UT Arlington,UT Arlington
Tennessee Martin,UT Martin
Tennessee-Martin,UT Martin
TN Martin,UT Martin
UT Martin,UT Martin
UT-Martin,UT Martin
Utah,Utah
Utah St,Utah St.
Utah St.,Utah St.
Utah State,Utah St.
Dixie St.,Utah Tech
Dixie State,Utah Tech
Utah Tech,Utah Tech
Utah Valley,Utah Valley
Texas-El Paso,UTEP
UTEP,UTEP
Utica,Utica
Texas-Rio Grande Valley,UTRGV
Texas–Rio Grande Valley,UTRGV
TX RG Valley,UTRGV
Tx-Rio Grande,UTRGV
UT Rio Grande Valley,UTRGV
UTRGV,UTRGV
Texas-San Antonio,UTSA
UT San Antonio,UTSA
UTSA,UTSA
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Virginia Commonwealth,VCU
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
Virginia Military Institute,VMI
VMI,VMI
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington & Lee,Washington & Lee
Washington (MO),Washington (MO)
Washington St,Washington St.
Washington St.,Washington St.
Washington State,Washington St.
Wayne State (MI),Wayne State (MI)
Weber St,Weber St.
Weber St.,Weber St.
Weber State,Weber St.
West Chester,West Chester
West Ga.,West Georgia
West Georgia,West Georgia
West Texas A&M,West Texas A&M
West Virginia,West Virginia
West Virginia Tech,West Virginia Tech
W Carolina,Western Caro.
W. Carolina,Western Caro.
Western Caro.,Western Caro.
Western Carolina,Western Caro.
W Illinois,Western Ill.
W. Illinois,Western Ill.
Western Ill.,Western Ill.
Western Illinois,Western Ill.
W. Kentucky,Western Ky.
Western Kentucky,Western Ky.
Western Ky.,Western Ky.
WKU,Western Ky.
W Michigan,Western Mich.
W. Michigan,Western Mich.
Western Mich.,Western Mich.
Western Michigan,Western Mich.
Wichita St,Wichita St.
Wichita St.,Wichita St.
Wichita State,Wichita St.
William & Mary,William & Mary
William &amp; Mary,William & Mary
Williams,Williams
Winston-Salem,Winston-Salem
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St,Wright St.
Wright St.,Wright St.
Wright State,Wright St.
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown St,Youngstown St.
Youngstown St.,Youngstown St.
Youngstown State,Youngstown St.
